dataset,task_group,example_id,run_dir,synthetic_from_real,is_real_grouped,ambiguity_level,ambiguity_regime,posterior_strategy_requested,is_calibrated,method,baseline_method,method_family,is_conformal,sequence_length,symbol_topk_accuracy,grouped_topk_success,grouped_exact_success,grouped_token_accuracy,downstream_kind,downstream_exact_success,downstream_partial_success,symbol_topk_delta,grouped_topk_delta,grouped_exact_delta,grouped_token_delta,downstream_exact_delta,downstream_partial_delta,symbol_rescue,grouped_topk_rescue,grouped_exact_rescue,downstream_exact_rescue,downstream_partial_rescue,prediction_set_coverage,prediction_set_avg_size,prediction_set_singleton_rate,prediction_set_rescue_rate,mean_confusion_entropy,mean_confusion_set_size,real_downstream_bank_coverage,dataset_support_upper_bound,full_support_indicator
omniglot,synthetic_markov,test_seq_0020,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.3333333333333333,none,,,0.5,0.0,0.0,-0.16666666666666669,,,1.0,0.0,0.0,,,1.0,4.916666666666667,0.0,0.5,1.199983211191075,4.916666666666667,,,
omniglot,synthetic_markov,test_seq_0020,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,0.8333333333333334,0.0,0.0,0.3333333333333333,none,,,-0.16666666666666663,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.8333333333333334,2.5833333333333335,0.0,0.3333333333333333,0.7874427020458823,2.5833333333333335,,,
omniglot,synthetic_markov,test_seq_0021,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.75,none,,,0.08333333333333337,0.0,0.0,-0.16666666666666663,,,1.0,0.0,0.0,,,1.0,4.833333333333333,0.08333333333333333,0.08333333333333333,1.148059839885464,4.833333333333333,,,
omniglot,synthetic_markov,test_seq_0021,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,1.0,0.0,0.9166666666666666,none,,,0.0,1.0,0.0,0.16666666666666663,,,0.0,1.0,0.0,,,1.0,2.5833333333333335,0.25,0.08333333333333333,0.6895262902583471,2.5833333333333335,,,
omniglot,synthetic_markov,test_seq_0022,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,1.0,1.0,1.0,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,3.5833333333333335,0.3333333333333333,0.0,0.6833879927638801,3.5833333333333335,,,
omniglot,synthetic_markov,test_seq_0022,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,1.0,1.0,1.0,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,1.5,0.6666666666666666,0.0,0.21617413062231186,1.5,,,
omniglot,synthetic_markov,test_seq_0023,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.25,none,,,0.5833333333333333,0.0,0.0,-0.16666666666666669,,,1.0,0.0,0.0,,,1.0,5.166666666666667,0.0,0.5833333333333334,1.234981369059796,5.166666666666667,,,
omniglot,synthetic_markov,test_seq_0023,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,0.75,0.0,0.0,0.3333333333333333,none,,,-0.25,0.0,0.0,0.08333333333333331,,,0.0,0.0,0.0,,,0.75,2.5,0.16666666666666666,0.3333333333333333,0.7385963862419743,2.5,,,
omniglot,synthetic_markov,test_seq_0024,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.5833333333333334,none,,,0.08333333333333337,0.0,0.0,-0.33333333333333326,,,1.0,0.0,0.0,,,1.0,4.833333333333333,0.08333333333333333,0.08333333333333333,1.1068443632589842,4.833333333333333,,,
omniglot,synthetic_markov,test_seq_0024,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,0.0,0.0,0.5833333333333334,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,2.4166666666666665,0.16666666666666666,0.08333333333333333,0.6993877844966855,2.4166666666666665,,,
omniglot,synthetic_markov,test_seq_0025,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.5,none,,,0.33333333333333337,0.0,0.0,-0.16666666666666663,,,1.0,0.0,0.0,,,1.0,5.5,0.0,0.3333333333333333,1.371760790932781,5.5,,,
omniglot,synthetic_markov,test_seq_0025,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,0.9166666666666666,0.0,0.0,0.5833333333333334,none,,,-0.08333333333333337,0.0,0.0,0.08333333333333337,,,0.0,0.0,0.0,,,0.9166666666666666,2.75,0.08333333333333333,0.25,0.8449096280512061,2.75,,,
omniglot,synthetic_markov,test_seq_0026,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.6666666666666666,none,,,0.41666666666666663,0.0,0.0,0.08333333333333326,,,1.0,0.0,0.0,,,1.0,5.083333333333333,0.0,0.4166666666666667,1.3009699009098055,5.083333333333333,,,
