dataset,task_name,posterior_strategy_requested,ambiguity_level,method,sequence_exact_match,sequence_token_accuracy,sequence_topk_recovery,sequence_cer,symbol_topk_accuracy,prediction_set_coverage,prediction_set_avg_size,prediction_set_singleton_rate,prediction_set_rescue_rate,family_identification_accuracy,family_identification_topk_recovery,source_dataset_name,selected_symbol_count,sequence_length,synthetic_from_real
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.15,fixed_greedy,0.3333333333333333,0.7,0.3333333333333333,0.30000000000000004,0.6986301369863014,0.7,1.0,1.0,0.0,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.15,uncertainty_beam,0.16666666666666666,0.6861111111111111,0.5555555555555556,0.3138888888888889,0.9452054794520548,0.9611111111111111,2.947222222222222,0.08333333333333333,0.2611111111111111,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.15,uncertainty_crf_viterbi,0.16666666666666666,0.6861111111111111,0.16666666666666666,0.3138888888888889,0.9452054794520548,0.9611111111111111,2.947222222222222,0.08333333333333333,0.2611111111111111,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.15,uncertainty_trigram_beam,0.1111111111111111,0.6055555555555556,0.4444444444444444,0.38055555555555554,0.9452054794520548,0.9611111111111111,2.947222222222222,0.08333333333333333,0.2611111111111111,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.3,conformal_beam,0.3333333333333333,0.6194444444444445,0.4444444444444444,0.33888888888888885,0.9041095890410958,0.9194444444444445,2.5055555555555555,0.19444444444444445,0.3027777777777778,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.3,conformal_crf_viterbi,0.3333333333333333,0.6194444444444445,0.3333333333333333,0.33888888888888885,0.9041095890410958,0.9194444444444445,2.5055555555555555,0.19444444444444445,0.3027777777777778,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.3,conformal_trigram_beam,0.1111111111111111,0.5638888888888889,0.2777777777777778,0.4222222222222222,0.9041095890410958,0.9194444444444445,2.5055555555555555,0.19444444444444445,0.3027777777777778,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.3,fixed_greedy,0.2222222222222222,0.6166666666666667,0.2222222222222222,0.36944444444444446,0.6164383561643836,0.6166666666666667,1.0,1.0,0.0,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.3,uncertainty_beam,0.3333333333333333,0.6194444444444445,0.4444444444444444,0.33888888888888885,0.9178082191780822,0.9333333333333333,3.072222222222222,0.06944444444444445,0.31666666666666665,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.3,uncertainty_crf_viterbi,0.3333333333333333,0.6194444444444445,0.3333333333333333,0.33888888888888885,0.9178082191780822,0.9333333333333333,3.072222222222222,0.06944444444444445,0.31666666666666665,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
